Sorteo;Número;Paridad;Color;Docena;Columna;Alto_Bajo
1833978;10;PAR;NEGRO;A;A;BAJA
1833977;13;IMPAR;NEGRO;B;A;BAJA
1833976;0;#N/D;#N/D;#N/D;#N/D;#N/D
1833975;32;PAR;ROJO;C;B;ALTA
1833974;19;IMPAR;ROJO;B;A;ALTA
1833973;19;IMPAR;ROJO;B;A;ALTA
1833972;8;PAR;NEGRO;A;B;BAJA
1833971;11;IMPAR;NEGRO;A;B;BAJA
1833970;33;IMPAR;NEGRO;C;C;ALTA
1833969;6;PAR;NEGRO;A;C;BAJA
1833968;19;IMPAR;ROJO;B;A;ALTA
1833967;24;PAR;NEGRO;B;C;ALTA
1833966;28;PAR;NEGRO;C;A;ALTA
1833965;1;IMPAR;ROJO;A;A;BAJA
1833964;16;PAR;ROJO;B;A;BAJA
1833963;2;PAR;NEGRO;A;B;BAJA
1833962;29;IMPAR;NEGRO;C;B;ALTA
1833961;11;IMPAR;NEGRO;A;B;BAJA
1833960;6;PAR;NEGRO;A;C;BAJA
1833959;6;PAR;NEGRO;A;C;BAJA
1833958;29;IMPAR;NEGRO;C;B;ALTA
1833957;18;PAR;ROJO;B;C;BAJA
1833956;9;IMPAR;ROJO;A;C;BAJA
1833955;16;PAR;ROJO;B;A;BAJA
1833954;31;IMPAR;NEGRO;C;A;ALTA
1833953;8;PAR;NEGRO;A;B;BAJA
1833952;30;PAR;ROJO;C;C;ALTA
1833951;13;IMPAR;NEGRO;B;A;BAJA
1833950;6;PAR;NEGRO;A;C;BAJA
1833949;20;PAR;NEGRO;B;B;ALTA
1833948;20;PAR;NEGRO;B;B;ALTA
1833947;30;PAR;ROJO;C;C;ALTA
1833946;34;PAR;ROJO;C;A;ALTA
1833945;14;PAR;ROJO;B;B;BAJA
1833944;1;IMPAR;ROJO;A;A;BAJA
1833943;23;IMPAR;ROJO;B;B;ALTA
1833942;0;#N/D;#N/D;#N/D;#N/D;#N/D
1833941;7;IMPAR;ROJO;A;A;BAJA
1833940;35;IMPAR;NEGRO;C;B;ALTA
1833939;9;IMPAR;ROJO;A;C;BAJA
1833938;18;PAR;ROJO;B;C;BAJA
1833937;3;IMPAR;ROJO;A;C;BAJA
1833936;5;IMPAR;ROJO;A;B;BAJA
1833935;36;PAR;ROJO;C;C;ALTA
1833934;22;PAR;NEGRO;B;A;ALTA
1833933;1;IMPAR;ROJO;A;A;BAJA
1833932;13;IMPAR;NEGRO;B;A;BAJA
1833931;16;PAR;ROJO;B;A;BAJA
1833930;34;PAR;ROJO;C;A;ALTA
1833929;12;PAR;ROJO;A;C;BAJA
1833928;19;IMPAR;ROJO;B;A;ALTA
1833927;7;IMPAR;ROJO;A;A;BAJA
1833926;4;PAR;NEGRO;A;A;BAJA
1833925;33;IMPAR;NEGRO;C;C;ALTA
1833924;25;IMPAR;ROJO;C;A;ALTA
1833923;24;PAR;NEGRO;B;C;ALTA
1833922;10;PAR;NEGRO;A;A;BAJA
1833921;11;IMPAR;NEGRO;A;B;BAJA
1833920;25;IMPAR;ROJO;C;A;ALTA
1833919;3;IMPAR;ROJO;A;C;BAJA
1833918;21;IMPAR;ROJO;B;C;ALTA
1833917;3;IMPAR;ROJO;A;C;BAJA
1833916;11;IMPAR;NEGRO;A;B;BAJA
1833915;27;IMPAR;ROJO;C;C;ALTA
1833914;30;PAR;ROJO;C;C;ALTA
1833913;32;PAR;ROJO;C;B;ALTA
1833912;6;PAR;NEGRO;A;C;BAJA
1833911;18;PAR;ROJO;B;C;BAJA
1833910;35;IMPAR;NEGRO;C;B;ALTA
1833909;14;PAR;ROJO;B;B;BAJA
1833908;10;PAR;NEGRO;A;A;BAJA
1833907;18;PAR;ROJO;B;C;BAJA
1833906;25;IMPAR;ROJO;C;A;ALTA
1833905;15;IMPAR;NEGRO;B;C;BAJA
1833904;10;PAR;NEGRO;A;A;BAJA
1833903;29;IMPAR;NEGRO;C;B;ALTA
1833902;10;PAR;NEGRO;A;A;BAJA
1833901;5;IMPAR;ROJO;A;B;BAJA
1833900;35;IMPAR;NEGRO;C;B;ALTA
1833899;2;PAR;NEGRO;A;B;BAJA
1833898;21;IMPAR;ROJO;B;C;ALTA
1833897;3;IMPAR;ROJO;A;C;BAJA
1833896;2;PAR;NEGRO;A;B;BAJA
1833895;22;PAR;NEGRO;B;A;ALTA
1833894;28;PAR;NEGRO;C;A;ALTA
1833893;21;IMPAR;ROJO;B;C;ALTA
1833892;25;IMPAR;ROJO;C;A;ALTA
1833891;7;IMPAR;ROJO;A;A;BAJA
1833890;34;PAR;ROJO;C;A;ALTA
1833889;20;PAR;NEGRO;B;B;ALTA
1833888;26;PAR;NEGRO;C;B;ALTA
1833887;19;IMPAR;ROJO;B;A;ALTA
1833886;11;IMPAR;NEGRO;A;B;BAJA
1833885;24;PAR;NEGRO;B;C;ALTA
1833884;19;IMPAR;ROJO;B;A;ALTA
1833883;9;IMPAR;ROJO;A;C;BAJA
1833882;8;PAR;NEGRO;A;B;BAJA
1833881;10;PAR;NEGRO;A;A;BAJA
1833880;19;IMPAR;ROJO;B;A;ALTA
1833879;8;PAR;NEGRO;A;B;BAJA
1833878;5;IMPAR;ROJO;A;B;BAJA
1833877;27;IMPAR;ROJO;C;C;ALTA
1833876;19;IMPAR;ROJO;B;A;ALTA
1833875;15;IMPAR;NEGRO;B;C;BAJA
1833874;19;IMPAR;ROJO;B;A;ALTA
1833873;20;PAR;NEGRO;B;B;ALTA
1833872;6;PAR;NEGRO;A;C;BAJA
1833871;10;PAR;NEGRO;A;A;BAJA
1833870;1;IMPAR;ROJO;A;A;BAJA
1833869;4;PAR;NEGRO;A;A;BAJA
1833868;14;PAR;ROJO;B;B;BAJA
1833867;29;IMPAR;NEGRO;C;B;ALTA
1833866;15;IMPAR;NEGRO;B;C;BAJA
1833865;13;IMPAR;NEGRO;B;A;BAJA
1833864;4;PAR;NEGRO;A;A;BAJA
1833863;29;IMPAR;NEGRO;C;B;ALTA
1833862;25;IMPAR;ROJO;C;A;ALTA
1833861;36;PAR;ROJO;C;C;ALTA
1833860;27;IMPAR;ROJO;C;C;ALTA
1833859;18;PAR;ROJO;B;C;BAJA
1833858;4;PAR;NEGRO;A;A;BAJA
1833857;20;PAR;NEGRO;B;B;ALTA
1833856;28;PAR;NEGRO;C;A;ALTA
1833855;24;PAR;NEGRO;B;C;ALTA
1833854;24;PAR;NEGRO;B;C;ALTA
1833853;21;IMPAR;ROJO;B;C;ALTA
1833852;8;PAR;NEGRO;A;B;BAJA
1833851;27;IMPAR;ROJO;C;C;ALTA
1833850;4;PAR;NEGRO;A;A;BAJA
1833849;12;PAR;ROJO;A;C;BAJA
1833848;18;PAR;ROJO;B;C;BAJA
1833847;26;PAR;NEGRO;C;B;ALTA
1833846;36;PAR;ROJO;C;C;ALTA
1833845;25;IMPAR;ROJO;C;A;ALTA
1833844;14;PAR;ROJO;B;B;BAJA
1833843;36;PAR;ROJO;C;C;ALTA
1833842;24;PAR;NEGRO;B;C;ALTA
1833841;1;IMPAR;ROJO;A;A;BAJA
1833840;8;PAR;NEGRO;A;B;BAJA
1833839;28;PAR;NEGRO;C;A;ALTA
1833838;3;IMPAR;ROJO;A;C;BAJA
1833837;29;IMPAR;NEGRO;C;B;ALTA
1833836;6;PAR;NEGRO;A;C;BAJA
1833835;0;#N/D;#N/D;#N/D;#N/D;#N/D
1833834;17;IMPAR;NEGRO;B;B;BAJA
1833833;16;PAR;ROJO;B;A;BAJA
1833832;19;IMPAR;ROJO;B;A;ALTA
1833831;22;PAR;NEGRO;B;A;ALTA
1833830;19;IMPAR;ROJO;B;A;ALTA
1833829;18;PAR;ROJO;B;C;BAJA
1833828;12;PAR;ROJO;A;C;BAJA
1833827;3;IMPAR;ROJO;A;C;BAJA
1833826;1;IMPAR;ROJO;A;A;BAJA
1833825;15;IMPAR;NEGRO;B;C;BAJA
1833824;3;IMPAR;ROJO;A;C;BAJA
1833823;23;IMPAR;ROJO;B;B;ALTA
1833822;23;IMPAR;ROJO;B;B;ALTA
1833821;8;PAR;NEGRO;A;B;BAJA
1833820;22;PAR;NEGRO;B;A;ALTA
1833819;4;PAR;NEGRO;A;A;BAJA
1833818;24;PAR;NEGRO;B;C;ALTA
1833817;32;PAR;ROJO;C;B;ALTA
1833816;6;PAR;NEGRO;A;C;BAJA
1833815;3;IMPAR;ROJO;A;C;BAJA
1833814;25;IMPAR;ROJO;C;A;ALTA
1833813;34;PAR;ROJO;C;A;ALTA
1833812;4;PAR;NEGRO;A;A;BAJA
1833811;4;PAR;NEGRO;A;A;BAJA
1833810;11;IMPAR;NEGRO;A;B;BAJA
1833809;23;IMPAR;ROJO;B;B;ALTA
1833808;1;IMPAR;ROJO;A;A;BAJA
1833807;20;PAR;NEGRO;B;B;ALTA
1833806;32;PAR;ROJO;C;B;ALTA
1833805;15;IMPAR;NEGRO;B;C;BAJA
1833804;35;IMPAR;NEGRO;C;B;ALTA
1833803;10;PAR;NEGRO;A;A;BAJA
1833802;23;IMPAR;ROJO;B;B;ALTA
1833801;23;IMPAR;ROJO;B;B;ALTA
1833800;1;IMPAR;ROJO;A;A;BAJA
1833799;19;IMPAR;ROJO;B;A;ALTA
1833798;27;IMPAR;ROJO;C;C;ALTA
1833797;28;PAR;NEGRO;C;A;ALTA
1833796;5;IMPAR;ROJO;A;B;BAJA
1833795;0;#N/D;#N/D;#N/D;#N/D;#N/D
1833794;27;IMPAR;ROJO;C;C;ALTA
1833793;19;IMPAR;ROJO;B;A;ALTA
1833792;23;IMPAR;ROJO;B;B;ALTA
1833791;13;IMPAR;NEGRO;B;A;BAJA
1833790;28;PAR;NEGRO;C;A;ALTA
1833789;22;PAR;NEGRO;B;A;ALTA
1833788;8;PAR;NEGRO;A;B;BAJA
1833787;5;IMPAR;ROJO;A;B;BAJA
1833786;23;IMPAR;ROJO;B;B;ALTA
1833785;19;IMPAR;ROJO;B;A;ALTA
1833784;19;IMPAR;ROJO;B;A;ALTA
1833783;14;PAR;ROJO;B;B;BAJA
1833782;14;PAR;ROJO;B;B;BAJA
1833781;6;PAR;NEGRO;A;C;BAJA
1833780;11;IMPAR;NEGRO;A;B;BAJA
1833779;7;IMPAR;ROJO;A;A;BAJA
1833778;22;PAR;NEGRO;B;A;ALTA
1833777;22;PAR;NEGRO;B;A;ALTA
1833776;21;IMPAR;ROJO;B;C;ALTA
1833775;32;PAR;ROJO;C;B;ALTA
1833774;15;IMPAR;NEGRO;B;C;BAJA
1833773;35;IMPAR;NEGRO;C;B;ALTA
1833772;3;IMPAR;ROJO;A;C;BAJA
1833771;9;IMPAR;ROJO;A;C;BAJA
1833770;31;IMPAR;NEGRO;C;A;ALTA
1833769;23;IMPAR;ROJO;B;B;ALTA
1833768;21;IMPAR;ROJO;B;C;ALTA
1833767;6;PAR;NEGRO;A;C;BAJA
1833766;12;PAR;ROJO;A;C;BAJA
1833765;14;PAR;ROJO;B;B;BAJA
1833764;31;IMPAR;NEGRO;C;A;ALTA
1833763;20;PAR;NEGRO;B;B;ALTA
1833762;29;IMPAR;NEGRO;C;B;ALTA
1833761;27;IMPAR;ROJO;C;C;ALTA
1833760;36;PAR;ROJO;C;C;ALTA
1833759;17;IMPAR;NEGRO;B;B;BAJA
1833758;15;IMPAR;NEGRO;B;C;BAJA
1833757;21;IMPAR;ROJO;B;C;ALTA
1833756;31;IMPAR;NEGRO;C;A;ALTA
1833755;7;IMPAR;ROJO;A;A;BAJA
1833754;9;IMPAR;ROJO;A;C;BAJA
1833753;6;PAR;NEGRO;A;C;BAJA
1833752;29;IMPAR;NEGRO;C;B;ALTA
1833751;22;PAR;NEGRO;B;A;ALTA
1833750;3;IMPAR;ROJO;A;C;BAJA
1833749;22;PAR;NEGRO;B;A;ALTA
1833748;32;PAR;ROJO;C;B;ALTA
1833747;15;IMPAR;NEGRO;B;C;BAJA
1833746;35;IMPAR;NEGRO;C;B;ALTA
1833745;2;PAR;NEGRO;A;B;BAJA
1833744;30;PAR;ROJO;C;C;ALTA
1833743;26;PAR;NEGRO;C;B;ALTA
1833742;4;PAR;NEGRO;A;A;BAJA
1833741;31;IMPAR;NEGRO;C;A;ALTA
1833740;26;PAR;NEGRO;C;B;ALTA
1833739;1;IMPAR;ROJO;A;A;BAJA
1833738;23;IMPAR;ROJO;B;B;ALTA
1833737;19;IMPAR;ROJO;B;A;ALTA
1833736;23;IMPAR;ROJO;B;B;ALTA
1833735;26;PAR;NEGRO;C;B;ALTA
1833734;2;PAR;NEGRO;A;B;BAJA
1833733;32;PAR;ROJO;C;B;ALTA
1833732;2;PAR;NEGRO;A;B;BAJA
1833731;30;PAR;ROJO;C;C;ALTA
1833730;3;IMPAR;ROJO;A;C;BAJA
1833729;7;IMPAR;ROJO;A;A;BAJA
1833728;26;PAR;NEGRO;C;B;ALTA
1833727;28;PAR;NEGRO;C;A;ALTA
1833726;13;IMPAR;NEGRO;B;A;BAJA
1833725;36;PAR;ROJO;C;C;ALTA
1833724;12;PAR;ROJO;A;C;BAJA
1833723;22;PAR;NEGRO;B;A;ALTA
1833722;19;IMPAR;ROJO;B;A;ALTA
1833721;10;PAR;NEGRO;A;A;BAJA
1833720;23;IMPAR;ROJO;B;B;ALTA
1833719;10;PAR;NEGRO;A;A;BAJA
1833718;18;PAR;ROJO;B;C;BAJA
1833717;22;PAR;NEGRO;B;A;ALTA
1833716;28;PAR;NEGRO;C;A;ALTA
1833715;20;PAR;NEGRO;B;B;ALTA
1833714;32;PAR;ROJO;C;B;ALTA
1833713;32;PAR;ROJO;C;B;ALTA
1833712;34;PAR;ROJO;C;A;ALTA
1833711;1;IMPAR;ROJO;A;A;BAJA
1833710;5;IMPAR;ROJO;A;B;BAJA
1833709;9;IMPAR;ROJO;A;C;BAJA
1833708;30;PAR;ROJO;C;C;ALTA
1833707;20;PAR;NEGRO;B;B;ALTA
1833706;5;IMPAR;ROJO;A;B;BAJA
1833705;5;IMPAR;ROJO;A;B;BAJA
1833704;21;IMPAR;ROJO;B;C;ALTA
1833703;8;PAR;NEGRO;A;B;BAJA
1833702;22;PAR;NEGRO;B;A;ALTA
1833701;34;PAR;ROJO;C;A;ALTA
1833700;21;IMPAR;ROJO;B;C;ALTA
1833699;9;IMPAR;ROJO;A;C;BAJA
1833698;27;IMPAR;ROJO;C;C;ALTA
1833697;23;IMPAR;ROJO;B;B;ALTA
1833696;1;IMPAR;ROJO;A;A;BAJA
1833695;20;PAR;NEGRO;B;B;ALTA
1833694;2;PAR;NEGRO;A;B;BAJA
1833693;8;PAR;NEGRO;A;B;BAJA
1833692;31;IMPAR;NEGRO;C;A;ALTA
1833691;9;IMPAR;ROJO;A;C;BAJA
1833690;11;IMPAR;NEGRO;A;B;BAJA
1833689;14;PAR;ROJO;B;B;BAJA
1833688;16;PAR;ROJO;B;A;BAJA
1833687;20;PAR;NEGRO;B;B;ALTA
1833686;0;#N/D;#N/D;#N/D;#N/D;#N/D
1833685;10;PAR;NEGRO;A;A;BAJA
1833684;29;IMPAR;NEGRO;C;B;ALTA
1833683;36;PAR;ROJO;C;C;ALTA
1833682;6;PAR;NEGRO;A;C;BAJA
1833681;20;PAR;NEGRO;B;B;ALTA
1833680;6;PAR;NEGRO;A;C;BAJA
1833679;34;PAR;ROJO;C;A;ALTA
1833678;12;PAR;ROJO;A;C;BAJA
1833677;17;IMPAR;NEGRO;B;B;BAJA
1833676;8;PAR;NEGRO;A;B;BAJA
1833675;21;IMPAR;ROJO;B;C;ALTA
1833674;10;PAR;NEGRO;A;A;BAJA
1833673;19;IMPAR;ROJO;B;A;ALTA
1833672;6;PAR;NEGRO;A;C;BAJA
1833671;15;IMPAR;NEGRO;B;C;BAJA
1833670;6;PAR;NEGRO;A;C;BAJA
1833669;14;PAR;ROJO;B;B;BAJA
1833668;3;IMPAR;ROJO;A;C;BAJA
1833667;23;IMPAR;ROJO;B;B;ALTA
1833666;36;PAR;ROJO;C;C;ALTA
1833665;27;IMPAR;ROJO;C;C;ALTA
1833664;22;PAR;NEGRO;B;A;ALTA
1833663;22;PAR;NEGRO;B;A;ALTA
1833662;21;IMPAR;ROJO;B;C;ALTA
1833661;22;PAR;NEGRO;B;A;ALTA
1833660;0;#N/D;#N/D;#N/D;#N/D;#N/D
1833659;33;IMPAR;NEGRO;C;C;ALTA
1833658;32;PAR;ROJO;C;B;ALTA
1833657;3;IMPAR;ROJO;A;C;BAJA
1833656;9;IMPAR;ROJO;A;C;BAJA
1833655;2;PAR;NEGRO;A;B;BAJA
1833654;31;IMPAR;NEGRO;C;A;ALTA
1833653;24;PAR;NEGRO;B;C;ALTA
1833652;33;IMPAR;NEGRO;C;C;ALTA
1833651;30;PAR;ROJO;C;C;ALTA
1833650;10;PAR;NEGRO;A;A;BAJA
1833649;14;PAR;ROJO;B;B;BAJA
1833648;12;PAR;ROJO;A;C;BAJA
1833647;25;IMPAR;ROJO;C;A;ALTA
1833646;6;PAR;NEGRO;A;C;BAJA
1833645;30;PAR;ROJO;C;C;ALTA
1833644;19;IMPAR;ROJO;B;A;ALTA
1833643;18;PAR;ROJO;B;C;BAJA
1833642;25;IMPAR;ROJO;C;A;ALTA
1833641;11;IMPAR;NEGRO;A;B;BAJA
1833640;29;IMPAR;NEGRO;C;B;ALTA
1833639;6;PAR;NEGRO;A;C;BAJA
1833638;19;IMPAR;ROJO;B;A;ALTA
1833637;20;PAR;NEGRO;B;B;ALTA
1833636;24;PAR;NEGRO;B;C;ALTA
1833635;31;IMPAR;NEGRO;C;A;ALTA
1833634;1;IMPAR;ROJO;A;A;BAJA
1833633;30;PAR;ROJO;C;C;ALTA
1833632;15;IMPAR;NEGRO;B;C;BAJA
1833631;11;IMPAR;NEGRO;A;B;BAJA
1833630;7;IMPAR;ROJO;A;A;BAJA
1833629;34;PAR;ROJO;C;A;ALTA
1833628;19;IMPAR;ROJO;B;A;ALTA
1833627;15;IMPAR;NEGRO;B;C;BAJA
1833626;3;IMPAR;ROJO;A;C;BAJA
1833625;13;IMPAR;NEGRO;B;A;BAJA
1833624;10;PAR;NEGRO;A;A;BAJA
1833623;3;IMPAR;ROJO;A;C;BAJA
1833622;8;PAR;NEGRO;A;B;BAJA
1833621;14;PAR;ROJO;B;B;BAJA
